Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,LW Ratio,Price
Round,0.72,Good,E,SI2,Very Good,Fair,None,61.1%,56%,1.01,$2,346
Round,1.61,Very Good,L,VS1,Excellent,Good,Medium,59.8%,62%,1.01,$6,713
Round,1.31,Excellent,L,IF,Very Good,Very Good,None,61.6%,56%,1.01,$6,006
Round,1.67,Very Good,K,VVS1,Very Good,Very Good,None,62.8%,61%,1.01,$9,954
Round,0.66,Very Good,L,SI2,Good,Very Good,Faint,60.1%,60%,1.02,$1,283
Round,1.52,Very Good,K,VVS2,Very Good,Very Good,None,62.7%,61%,1.01,$8,063
Round,2.16,Excellent,L,VS2,Very Good,Excellent,None,61.6%,58%,1.0,$11,027
Round,3.03,Good,L,VS2,Excellent,Good,Faint,64.9%,55%,1.02,$21,626
Round,1.20,Very Good,L,VS1,Very Good,Good,Medium,60.8%,60%,1.01,$5,798
Round,2.01,Very Good,G,SI1,Excellent,Very Good,Medium,62.1%,60%,1.01,$27,310
Round,2.01,Very Good,G,VS1,Very Good,Very Good,Faint,59.4%,56%,1.01,$34,768
Round,0.62,Very Good,G,VS2,Very Good,Good,None,60.9%,59%,1.01,$2,065
Round,0.73,Good,E,VS1,Good,Good,Medium,63.1%,57%,1.02,$3,302
Round,0.90,Good,F,VVS2,Very Good,Good,None,63.3%,56%,1.01,$4,364
Round,1.33,Very Good,L,SI2,Good,Good,None,64.5%,59%,1.01,$3,812
Round,1.38,Excellent,K,VS1,Excellent,Excellent,Faint,62.5%,56%,1.01,$6,380
Round,1.31,Excellent,F,VVS2,Excellent,Excellent,Faint,60.1%,59%,1.01,$13,787
Round,3.00,Very Good,H,VS1,Excellent,Very Good,None,62.5%,60%,1.0,$48,749
Round,1.26,Excellent,J,VS1,Excellent,Excellent,None,61%,56%,1.0,$6,580
Round,3.01,Very Good,D,SI1,Very Good,Good,None,59.7%,57%,1.01,$55,750
Round,5.04,Very Good,J,VS2,Very Good,Excellent,Medium,61.5%,59%,1.01,$78,943
Round,5.05,Excellent,J,SI1,Very Good,Very Good,None,61.4%,59%,1.0,$93,698
Round,5.83,Very Good,J,SI1,Excellent,Very Good,Medium,57.6%,64%,1.01,$74,200
Round,2.13,Very Good,I,SI1,Very Good,Very Good,None,61.6%,60%,1.01,$16,145
Round,1.40,Very Good,F,VS1,Excellent,Very Good,None,62.8%,56%,1.01,$14,046
Round,1.51,Excellent,I,VS1,Excellent,Excellent,None,62.6%,57%,1.01,$10,946
Round,1.73,Excellent,F,VS1,Excellent,Very Good,None,62.1%,56%,1.01,$21,008
Round,1.55,Excellent,E,VS2,Excellent,Excellent,Faint,62.1%,59%,1.01,$15,056
Round,1.31,Excellent,F,VS2,Very Good,Very Good,Medium,61.6%,57%,1.01,$11,933
Round,0.70,Very Good,E,VS1,Excellent,Very Good,None,63.6%,57%,1.01,$3,060
Round,3.00,Very Good,E,VS2,Excellent,Very Good,Faint,59.5%,62%,1.01,$60,571
Round,3.41,Excellent,K,VS2,Excellent,Excellent,Medium,61.4%,57%,1.01,$29,282
Round,1.53,Excellent,L,IF,Excellent,Excellent,Very Strong,61.3%,59%,1.01,$7,228
Round,1.38,Excellent,E,VVS2,Excellent,Excellent,None,61.2%,56%,1.01,$17,256
Round,0.90,Good,G,VVS2,Very Good,Very Good,None,63.4%,63%,1.01,$4,842
Round,1.51,Good,J,VS1,Excellent,Excellent,None,63.1%,61%,1.01,$7,635
