Shape Carat Cut Color Clarity Polish Symmetry "Lab Certification" Price
Pear 0.30 "Very Good" K I1 Excellent "Very Good" GIA $126
Round 0.18 Good F I1 "Very Good" Good GIA $129
Princess 0.19 Good I VS1 Good Fair GIA $130
Round 0.23 Good J SI1 Fair Fair GIA $134
Round 0.20 Excellent M SI1 Excellent Excellent GIA $147
Round 0.18 Excellent K VS1 "Very Good" "Very Good" GIA $152
Pear 0.18 Excellent E SI1 "Very Good" Good GIA $154
Round 0.18 "Very Good" L SI2 Excellent "Very Good" GIA $156
Round 0.18 Good D I1 "Very Good" "Very Good" GIA $156
Princess 0.27 Excellent K SI2 Fair Poor GIA $157
Round 0.18 Fair E SI1 Good Fair GIA $157
Emerald 0.19 "Very Good" K VS1 Excellent "Very Good" GIA $159
Round 0.19 Excellent D I1 "Very Good" "Very Good" GIA $160
Pear 0.18 "Very Good" G VS1 Good Good GIA $162
Pear 0.20 "Very Good" D SI2 "Very Good" Good GIA $162
Emerald 0.18 Excellent J VS1 "Very Good" "Very Good" GIA $163
Round 0.19 Excellent D I1 Excellent Excellent GIA $164
Round 0.18 "Very Good" J VVS2 Good "Very Good" GIA $165
Round 0.19 "Very Good" H I1 Good "Very Good" GIA $166
Pear 0.19 Excellent D SI1 "Very Good" "Very Good" GIA $167
Round 0.18 Good J VS1 Excellent Good GIA $167
Round 0.18 Excellent I VS2 Excellent "Very Good" GIA $168
Marquise 0.34 "Very Good" K SI2 "Very Good" Fair GIA $168
Round 0.23 Good F I1 Good Fair GIA $168
Emerald 0.29 Excellent E I1 "Very Good" Fair GIA $169
Round 0.18 Fair D SI1 "Very Good" "Very Good" GIA $170
Round 0.18 Fair F SI1 Good "Very Good" GIA $170
Round 0.29 Fair L SI2 Good "Very Good" GIA $170
Round 0.18 Excellent J VS2 "Very Good" "Very Good" GIA $172
Round 0.18 Good I VS2 Fair "Very Good" GIA $173
Marquise 0.32 Excellent M VS2 "Very Good" "Very Good" GIA $173
Round 0.18 Good I VS2 Excellent "Very Good" GIA $173
Pear 0.30 Excellent K VS2 "Very Good" "Very Good" GIA $174
Marquise 0.30 Excellent M SI2 Excellent "Very Good" GIA $175
Round 0.18 Excellent I VVS1 Excellent Excellent GIA $175
Pear 0.30 Good H I1 Excellent "Very Good" GIA $176
Marquise 0.31 Excellent M VS2 "Very Good" "Very Good" GIA $176
Princess 0.29 Good I VS2 "Very Good" Good GIA $176
Pear 0.20 Excellent F SI1 "Very Good" Good GIA $177
Round 0.18 "Very Good" J SI1 Excellent "Very Good" GIA $177
Emerald 0.26 Excellent F SI2 "Very Good" Good GIA $178
Round 0.18 Excellent F SI2 Excellent Excellent GIA $179
Round 0.18 Excellent I SI1 Excellent "Very Good" GIA $179
