Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Asscher,1.02,H,VS1,,67.5,63,Excellent,Very Good,5.60X5.51X3.72,GIA,US$5,296
Asscher,1.02,D,VS2,,67.7,64,Excellent,Excellent,5.58X5.53X3.74,GIA,US$6,732
Asscher,1.02,E,VS1,,60.4,76,Very Good,Very Good,5.93X5.89X3.56,GIA,US$6,487
Asscher,0.91,F,VS2,,68,64,Excellent,Very Good,5.27X5.25X3.57,GIA,US$4,805
Asscher,2.21,F,VS1,,67.4,63,Excellent,Very Good,7.16X7.11X4.79,GIA,US$29,207
Asscher,0.90,I,VS2,,66.8,64,Excellent,Excellent,5.34X5.30X3.54,GIA,US$3,306
Asscher,0.90,F,VS1,,67.9,64,Excellent,Excellent,5.25X5.21X3.54,GIA,US$4,355
Asscher,0.90,H,VVS2,,68.8,64,Excellent,Very Good,5.30X5.18X3.56,GIA,US$3,593
Asscher,0.73,I,VS1,,66.7,63,Very Good,Very Good,4.99X4.98X3.32,GIA,US$2,202
Asscher,0.90,I,VVS2,,68.5,54,Excellent,Excellent,5.31X5.23X3.58,GIA,US$3,485
Asscher,0.90,G,VS1,,69.3,61,Excellent,Excellent,5.25X5.22X3.62,GIA,US$4,118
Asscher,1.00,G,VS1,,68.5,63,Excellent,Very Good,5.61X5.51X3.78,GIA,US$5,592
Asscher,1.01,E,VVS2,,69.9,62,Excellent,Very Good,5.54X5.50X3.84,GIA,US$6,916
Asscher,1.04,E,VS2,,68.5,63,Excellent,Very Good,5.66X5.49X3.76,GIA,US$5,824
Asscher,1.04,G,VS1,,67.8,68,Very Good,Very Good,5.64X5.55X3.76,GIA,US$5,821
Asscher,1.70,F,VS2,,68.6,63,Excellent,Very Good,6.49X6.48X4.45,GIA,US$16,782
Asscher,1.04,D,VS2,,67.1,62,Excellent,Very Good,5.60X5.58X3.75,GIA,US$6,989
Asscher,1.07,G,VS2,,67.2,63,Excellent,Excellent,5.66X5.61X3.77,GIA,US$6,018
Asscher,1.02,H,VS2,,67.7,64,Excellent,Excellent,5.49X5.44X3.69,GIA,US$5,712
Asscher,1.01,I,VVS2,,68.9,64,Excellent,Very Good,5.47X5.44X3.74,GIA,US$4,517
Asscher,3.01,G,VS2,,68,64,Excellent,Excellent,7.90X7.81X5.31,GIA,US$43,994
Asscher,0.90,E,VS1,,68.9,67,Excellent,Very Good,5.40X5.33X3.67,GIA,US$4,761
Asscher,1.01,E,VS2,,66.2,64,Excellent,Very Good,5.78X5.73X3.79,GIA,US$6,222
Asscher,1.01,E,VS1,,66.9,64,Excellent,Very Good,5.55X5.53X3.70,GIA,US$6,545
Asscher,1.21,G,VS1,,68.5,63,Excellent,Very Good,5.78X5.78X3.96,GIA,US$8,557
Asscher,1.21,E,VS2,,68.1,64,Excellent,Very Good,5.87X5.80X3.95,GIA,US$8,267
Asscher,2.05,G,VVS2,,65.2,68,Excellent,Very Good,7.09X7.07X4.61,GIA,US$24,354
Asscher,1.00,H,VS2,,68.7,64,Excellent,Very Good,5.43X5.41X3.72,GIA,US$5,200
Asscher,1.00,F,SI1,,64.8,74,Excellent,Good,5.97X5.7X3.69,GIA,US$5,680
Asscher,0.91,H,VVS2,,67.6,62,Excellent,Excellent,5.34X5.30X3.58,GIA,US$3,984
Asscher,0.91,J,VS1,,67.6,63,Excellent,Very Good,5.36X5.34X3.61,GIA,US$2,988
Asscher,0.91,I,VS1,,67.8,65,Excellent,Very Good,5.25X5.20X3.53,GIA,US$3,363
Asscher,0.92,D,SI1,,65.2,64,Excellent,Excellent,5.45X5.40X3.52,GIA,US$4,534
Asscher,1.03,F,VS1,,70.6,64,Very Good,Very Good,5.43X5.39X3.81,GIA,US$6,345
Asscher,1.14,D,VS1,,67.6,64,Excellent,Very Good,5.72X5.72X3.87,GIA,US$8,317
Asscher,1.01,E,SI1,,67.7,65,Excellent,Very Good,5.52X5.48X3.71,GIA,US$5,323
Asscher,1.01,D,VS2,,69.3,67,Excellent,Very Good,5.54X5.52X3.83,GIA,US$6,424
Asscher,1.11,H,VS1,,67.8,64,Excellent,Excellent,5.72X5.66X3.84,GIA,US$5,967
