Shape,Carat,Color,Clarity,Cut,Price
Round,0.216,H,SI1,AGS - Ideal,$405
Round,0.223,I,SI1,AGS - Ideal,$416
Round,0.203,H,VS2,AGS - Ideal,$420
Round,0.213,E,SI2,AGS - Ideal,$425
Round,0.217,I,VS2,AGS - Ideal,$426
Round,0.210,I,VS2,AGS - Ideal,$426
Round,0.212,I,VS2,AGS - Ideal,$427
Round,0.211,I,VS2,AGS - Ideal,$427
Round,0.216,I,VS2,AGS - Ideal,$427
Round,0.212,I,VS2,AGS - Ideal,$427
Round,0.211,I,VS2,AGS - Ideal,$427
Round,0.218,G,SI1,AGS - Ideal,$428
Round,0.210,G,SI1,AGS - Ideal,$428
Round,0.210,H,VS2,AGS - Ideal,$441
Round,0.215,H,VS2,AGS - Ideal,$441
Round,0.216,H,VS2,AGS - Ideal,$441
Round,0.214,H,VS2,AGS - Ideal,$441
Round,0.210,H,VS2,AGS - Ideal,$441
Round,0.210,H,VS2,AGS - Ideal,$441
Round,0.213,H,VS2,AGS - Ideal,$441
Round,0.210,H,VS2,AGS - Ideal,$441
Round,0.215,H,VS2,AGS - Ideal,$441
Round,0.233,H,SI1,AGS - Ideal,$443
Round,0.231,H,SI1,AGS - Ideal,$443
Round,0.233,H,SI1,AGS - Ideal,$443
Round,0.226,E,SI2,AGS - Ideal,$445
Round,0.227,I,VS2,AGS - Ideal,$447
Round,0.224,I,VS2,AGS - Ideal,$447
Round,0.225,I,VS2,AGS - Ideal,$447
Round,0.228,I,VS2,AGS - Ideal,$447
Round,0.223,I,VS2,AGS - Ideal,$447
Round,0.222,I,VS2,AGS - Ideal,$447
Round,0.226,I,VS2,AGS - Ideal,$447
Round,0.222,I,VS2,AGS - Ideal,$447
Round,0.221,I,VS2,AGS - Ideal,$447
Round,0.227,I,VS2,AGS - Ideal,$447
Round,0.220,I,VS2,AGS - Ideal,$447
Round,0.226,I,VS2,AGS - Ideal,$447
Round,0.228,I,VS2,AGS - Ideal,$447
Round,0.226,I,VS2,AGS - Ideal,$447
Round,0.227,I,VS2,AGS - Ideal,$447
Round,0.227,I,VS2,AGS - Ideal,$447
Round,0.204,H,VS1,AGS - Ideal,$448
Round,0.203,H,VS1,AGS - Ideal,$448
Round,0.202,H,VS1,AGS - Ideal,$448
Round,0.207,H,VS1,AGS - Ideal,$448
Round,0.208,H,VS1,AGS - Ideal,$448
Round,0.208,H,VS1,AGS - Ideal,$448
Round,0.205,H,VS1,AGS - Ideal,$448
Round,0.208,H,VS1,AGS - Ideal,$448
Round,0.225,F,SI1,AGS - Ideal,$455
Round,0.218,I,VS1,AGS - Ideal,$456
Round,0.215,I,VS1,AGS - Ideal,$456
Round,0.218,G,VS2,AGS - Ideal,$456
Round,0.217,I,VS1,AGS - Ideal,$456
Round,0.221,I,VS1,AGS - Ideal,$462
Round,0.220,I,VS1,AGS - Ideal,$462
Round,0.207,E,VS2,AGS - Ideal,$462
Round,0.230,E,SI2,AGS - Ideal,$466
Round,0.236,E,SI2,AGS - Ideal,$466
Round,0.232,F,SI2,AGS - Ideal,$466
Round,0.218,H,VS1,AGS - Ideal,$471
Round,0.210,H,VS1,AGS - Ideal,$471
Round,0.212,H,VS1,AGS - Ideal,$471
Round,0.213,H,VS1,AGS - Ideal,$471
Round,0.216,D,SI1,AGS - Ideal,$471
Round,0.215,H,VS1,AGS - Ideal,$471
Round,0.212,H,VS1,AGS - Ideal,$471
Round,0.214,H,VS1,AGS - Ideal,$471
Round,0.218,H,VS1,AGS - Ideal,$471
